Bill_Id,Cust_ID,Bill_Date,Bill_Time,Stock_Id,Garment_Name,Qty_Sold,Unit_Price,Discount,GST,Tot_Pay_Amt,Mode_of_Trans
B001,A015,29/10/2021,12:32:15,S003,Blazer,1,200,15%,10%,187.0,Cash
B001,A015,29/10/2021,12:32:15,S013,Jump Suit,1,2500,15%,10%,2340.0,Cash
B001,A015,29/10/2021,12:32:15,S032,T/Shirt,2,750,15%,10%,1400.0,Cash
B001,A015,29/10/2021,12:32:15,S011,Jeans,2,1000,15%,10%,1870.0,Cash
B002,A009,30/10/2021,13:30:25,S033,Varsity Jeans,1,1200,15%,10%,1122.0,Online Payment
B002,A009,30/10/2021,13:30:25,S011,Jeans,2,1000,15%,10%,1870.0,Online Payment
B002,A009,30/10/2021,13:30:25,S021,Plazos,1,200,15%,10%,187.0,Online Payment
B002,A009,30/10/2021,13:30:25,S024,Shirt,1,800,15%,10%,748.0,Online Payment
B002,A009,30/10/2021,13:30:25,S015,Kurti,1,500,15%,10%,470.0,Online Payment
B003,A014,30/10/2021,14:40:18,S004,Boy Friend Jeans,2,500,15%,10%,935.0,Credit Card
B003,A014,30/10/2021,14:40:18,S007,Crop top ,1,250,15%,10%,235.0,Credit Card
B003,A014,30/10/2021,14:40:18,S028,Sweat/Shirt,1,500,15%,10%,470.0,Credit Card
B004,A001,30/10/2021,14:40:18,S033,Varsity Jeans,2,1200,15%,10%,2244.0,Credit Card
B005,A024,31/10/2021,15:50:30,S012,Joggers,2,1500,15%,10%,2805.0,Credit
B005,A024,31/10/2021,15:50:30,S032,T/Shirt,2,750,15%,10%,1400.0,Credit
B006,A004,31/10/2021,16:55:15,S009,Hoodies,5,500,15%,10%,2340.0,Cash
B006,A004,31/10/2021,16:55:15,S010,Jackets,1,900,15%,10%,840.0,Cash
B006,A004,31/10/2021,16:55:15,S003,Blazer,1,200,15%,10%,187.0,Cash
B006,A004,31/10/2021,16:55:15,S011,Jeans,10,1000,15%,10%,9350.0,Cash
B007,A012,31/10/2021,18:30:15,S024,Shirt,2,800,15%,10%,1496.0,Cash
B008,A021,1/11/2021,12:55:15,S019,One piece,5,2999,15%,10%,14020.0,Online Payment
B008,A021,1/11/2021,12:55:15,S011,Jeans,9,1000,15%,10%,8415.0,Online Payment
B008,A021,1/11/2021,12:55:15,S014,Kurta,6,700,15%,10%,3927.0,Online Payment
B009,A029,1/11/2021,13:01:15,S004,Boy Friend Jeans,1,500,15%,10%,470.0,Online Payment
B009,A029,1/11/2021,13:01:15,S009,Hoodies,3,500,15%,10%,1402.0,Online Payment
B010,A033,1/11/2021,13:30:25,S029,Tank Top,2,900,15%,10%,1683.0,Cash
B010,A033,1/11/2021,13:30:25,S009,Hoodies,4,500,15%,10%,1870.0,Cash
B010,A033,1/11/2021,13:30:25,S007,Crop top ,2,250,15%,10%,470.0,Cash
B011,A026,1/11/2021,13:38:34,S001,3 piece,1,5000,15%,10%,4675.0,Cash
B011,A026,1/11/2021,13:38:34,S023,Sherwani,1,7000,15%,10%,6545.0,Cash
B011,A026,1/11/2021,13:38:34,S024,Shirt,3,800,15%,10%,2244.0,Cash
B011,A026,1/11/2021,13:38:34,S009,Hoodies,2,500,15%,10%,935.0,Cash
B011,A026,1/11/2021,13:38:34,S003,Blazer,2,200,15%,10%,374.0,Cash
B012,A018,1/11/2021,16:00:04,S003,Blazer,1,200,15%,10%,187.0,Online Payment
B012,A018,1/11/2021,16:00:04,S006,Cold Shoulder,2,250,15%,10%,470.0,Online Payment
B012,A018,1/11/2021,16:00:04,S009,Hoodies,2,500,15%,10%,935.0,Online Payment
B013,A016,1/11/2021,18:30:04,S010,Jackets,2,900,15%,10%,1683.0,Credit Card
B013,A016,1/11/2021,18:30:04,S011,Jeans,1,1000,15%,10%,935.0,Credit Card
B014,A032,3/11/2021,13:25:12,S030,Top,2,250,15%,10%,534.0,Cash
B015,A028,3/11/2021,14:11:12,S011,Jeans,2,1000,15%,10%,1870.0,Cash
B016,A007,3/11/2021,14:40:48,S035,Winter Socks,10,150,15%,10%,1785.0,Cash
B016,A007,3/11/2021,14:40:48,S032,T/Shirt,2,750,15%,10%,1384.0,Cash
B016,A007,3/11/2021,14:40:48,S009,Hoodies,2,500,15%,10%,1190.0,Cash
B016,A007,3/11/2021,14:40:48,S014,Kurta,3,700,15%,10%,2499.0,Cash
B016,A007,3/11/2021,14:40:48,S031,Trousers,1,1500,15%,10%,1400.0,Cash
B017,A013,3/11/2021,15:00:10,S028,Sweat/Shirt,2,500,15%,10%,935.0,Credit
B017,A013,3/11/2021,15:00:10,S029,Tank Top,4,900,15%,10%,3366.0,Credit
B017,A013,3/11/2021,15:00:10,S025,Skirts,3,550,15%,10%,1540.0,Credit
B018,A002,3/11/2021,15:25:12,S009,Hoodies,2,500,15%,10%,935.0,Cash
B018,A002,3/11/2021,15:25:12,S033,Varsity Jeans,1,1200,15%,10%,1122.0,Cash
B019,A015,3/11/2021,16:00:00,S022,Sharara,2,1200,15%,10%,2244.0,Online Payment
B020,A003,3/11/2021,16:55:25,S014,Kurta,1,700,15%,10%,650.0,Cheque
B020,A003,3/11/2021,16:55:25,S034,Vest ,5,150,15%,10%,700.0,Cheque
B020,A003,3/11/2021,16:55:25,S001,3 piece,1,5000,15%,10%,4675.0,Cheque
B021,A025,3/11/2021,18:25:16,S009,Hoodies,1,500,15%,10%,470.0,Cash
B021,A025,3/11/2021,18:25:16,S011,Jeans,2,1000,15%,10%,1870.0,Cash
B022,A001,4/11/2021,12:30:11,S033,Varsity Jeans,2,1200,15%,10%,2244.0,Cash
B023,A017,4/11/2021,13:21:25,S021,Plazos,2,200,15%,10%,360.0,Online Payment
B023,A017,4/11/2021,13:21:25,S007,Crop top ,5,250,15%,10%,1170.0,Online Payment
B023,A017,4/11/2021,13:21:25,S004,Boy Friend Jeans,1,500,15%,10%,470.0,Online Payment
B023,A017,4/11/2021,13:21:25,S028,Sweat/Shirt,2,500,15%,10%,935.0,Online Payment
B024,A035,4/11/2021,13:55:11,S016,Leggings,1,200,15%,10%,187.0,Cash
B024,A035,4/11/2021,13:55:11,S006,Cold Shoulder,2,250,15%,10%,470.0,Cash
B025,A031,4/11/2021,14:05:16,S023,Sherwani,2,7000,15%,10%,13090.0,Online Payment
B026,A033,4/11/2021,14:59:11,S018,Off Shoulder,2,750,15%,10%,1400.0,Cash
B026,A033,4/11/2021,14:59:11,S005,Cargo Pants,2,1200,15%,10%,2244.0,Cash
B027,A030,4/11/2021,15:21:45,S003,Blazer,1,2000,15%,10%,1870.0,Cheque
B027,A030,4/11/2021,15:21:45,S009,Hoodies,2,500,15%,10%,935.0,Cheque
B027,A030,4/11/2021,15:21:45,S010,Jackets,2,900,15%,10%,1683.0,Cheque
B028,A034,4/11/2021,16:58:54,S015,Kurti,1,500,15%,10%,470.0,Online Payment
B028,A034,4/11/2021,16:58:54,S016,Leggings,1,200,15%,10%,187.0,Online Payment
B029,A022,4/11/2021,17:05:15,S015,Kurti,2,500,15%,10%,935.0,Cash
B029,A022,4/11/2021,17:05:15,S016,Leggings,2,200,15%,10%,374.0,Cash
B030,A023,4/11/2021,18:36:14,S033,Varsity Jeans,2,1200,15%,10%,2244.0,Credit
B030,A023,4/11/2021,18:36:14,S035,Winter Socks,2,150,15%,10%,280.0,Credit
B031,A005,5/11/2021,13:21:54,S019,One piece,1,2999,15%,10%,2805.0,Online Payment
B031,A005,5/11/2021,13:21:54,S022,Sharara,1,1200,15%,10%,1122.0,Online Payment
B031,A005,5/11/2021,13:21:54,S025,Skirts,1,550,15%,10%,515.0,Online Payment
B032,A027,5/11/2021,15:12:16,S003,Blazer,1,2000,15%,10%,1870.0,Credit
B032,A027,5/11/2021,15:12:16,S001,3 piece,1,5000,15%,10%,4675.0,Credit
B032,A027,5/11/2021,15:12:16,S005,Cargo Pants,2,1200,15%,10%,2244.0,Credit
B032,A027,5/11/2021,15:12:16,S012,Joggers,1,1500,15%,10%,1400.0,Credit
B032,A027,5/11/2021,15:12:16,S023,Sherwani,1,7000,15%,10%,8855.0,Credit
B033,A026,6/11/2021,14:11:12,S010,Jackets,2,900,15%,10%,1683.0,Cash
B033,A026,6/11/2021,14:11:12,S011,Jeans,2,1000,15%,10%,1870.0,Cash
B033,A026,6/11/2021,14:11:12,S032,T/Shirt,2,750,15%,10%,1400.0,Cash
B034,A029,6/11/2021,16:45:57,S013,Jump Suit,1,2500,15%,10%,2340.0,Online Payment
B034,A029,6/11/2021,16:45:57,S008,Cycling Shorts,2,250,15%,10%,748.0,Online Payment
B035,A010,6/11/2021,18:19:11,S003,Blazer,1,2000,15%,10%,1870.0,Credit
B035,A010,6/11/2021,18:19:11,S009,Hoodies,1,500,15%,10%,470.0,Credit
B035,A010,6/11/2021,18:19:11,S011,Jeans,1,1000,15%,10%,935.0,Credit
B035,A010,6/11/2021,18:19:11,S013,Jump Suit,1,2500,15%,10%,2150.0,Credit
B036,A009,7/11/2021,13:11:20,S017,Lowers,2,300,15%,10%,561.0,Cheque
B036,A009,7/11/2021,13:11:20,S022,Sharara,1,1200,15%,10%,1122.0,Cheque
B036,A009,7/11/2021,13:11:20,S025,Skirts,2,550,15%,10%,1030.0,Cheque
B037,A006,7/11/2021,13:59:59,S030,Top,2,250,15%,10%,233.0,Online Payment
B037,A006,7/11/2021,13:59:59,S035,Winter Socks,2,150,15%,10%,140.0,Online Payment
B037,A006,7/11/2021,13:59:59,S006,Cold Shoulder,2,250,15%,10%,233.0,Online Payment
B038,A008,7/11/2021,14:28:11,S032,T/Shirt,5,750,15%,10%,3510.0,Cash
B038,A008,7/11/2021,14:28:11,S011,Jeans,5,1000,15%,10%,4675.0,Cash
B039,A011,7/11/2021,16:11:25,S012,Jeans,2,1500,15%,10%,2805.0,Credit
B039,A011,7/11/2021,16:11:25,S014,Kurta,2,700,15%,10%,1309.0,Credit
B039,A011,7/11/2021,16:11:25,S027,Sweater,2,750,15%,10%,1400.0,Credit
B040,A020,8/11/2021,14:20:00,S019,One piece,1,2999,15%,10%,2805.0,Cash
B040,A020,8/11/2021,14:20:00,S018,Off Shoulder,2,750,15%,10%,1400.0,Cash
B040,A020,8/11/2021,14:20:00,S020,Over Sized T/shirt,5,675,15%,10%,3155.0,Cash
B041,A004,9/11/2021,12:49:11,S014,Kurta,2,700,15%,10%,1309.0,Online Payment
B041,A004,9/11/2021,12:49:11,S021,Plazos,2,200,15%,10%,374.0,Online Payment
B042,A030,9/11/2021,14:05:21,S001,3 piece,1,5000,15%,10%,4675.0,Cheque
B042,A030,9/11/2021,14:05:21,S002,Bell bottom jeans,1,600,15%,10%,561.0,Cheque
B043,A012,9/11/2021,15:26:11,S034,Vest ,5,150,15%,10%,701.0,Cash
B044,A016,9/11/2021,16:11:20,S028,Sweat/Shirt,2,500,15%,10%,935.0,Online Payment
B045,A022,9/11/2021,16:59:11,S025,Skirts,2,550,15%,10%,515.0,Online Payment
B046,A034,9/11/2021,17:17:17,S020,Over Sized T/shirt,2,675,15%,10%,1262.0,Credit
B046,A034,9/11/2021,17:17:17,S029,Tank Top,5,900,15%,10%,4200.0,Credit
B047,A020,10/11/2021,14:56:56,S024,Shirt,2,800,15%,10%,1496.0,Cash
B047,A020,10/11/2021,14:56:56,S033,Varsity Jeans,2,1200,15%,10%,2244.0,Cash
B047,A020,10/11/2021,14:56:56,S016,Leggings,1,200,15%,10%,187.0,Cash
B048,A019,10/11/2021,17:18:30,S027,Sweater,2,750,15%,10%,1400.0,Online Payment
B048,A019,10/11/2021,17:18:30,S002,Bell bottom jeans,2,600,15%,10%,1122.0,Online Payment
